record_id,title,exclusion_reason,detail,publication_state,record_type
ARED-GH-00010,Fante Asafo flags visual system,record_type,"record_type ""living visual system"" is a planning row",source-backed seed record,living visual system
ARED-GH-00015,Artist Alliance Gallery Asafo flag collection,record_type,"record_type ""collection"" is a planning row",source-backed seed record,collection
ARED-GH-00016,Fowler Museum Asafo flag collection,record_type,"record_type ""collection"" is a planning row",source-backed seed record,collection
ARED-GH-00031,Packaging design and production research corpus at KNUST,record_type,"record_type ""research collection"" is a planning row",source-backed seed record,research collection
ARED-GH-00033,Department of Communication Design staff and alumni authority cluster,record_type,"record_type ""authority cluster"" is a planning row",source-backed seed record,authority cluster
ARED-GH-00034,Gold Coast and Ghana newspaper visual culture research field,record_type,"record_type ""research field"" is a planning row",source-backed seed record,research field
ARED-GH-00036,Colonial map and survey graphics research field,record_type,"record_type ""research field"" is a planning row",source-backed seed record,research field
ARED-GH-00037,Colonial and postcolonial postage stamp design research field,templated_wording,"contains ""institutional research lead""",source-backed seed record,research field
ARED-GH-00038,Currency and banknote design research field,templated_wording,"contains ""research target""",source-backed seed record,research field
ARED-GH-00039,Ghanaian hand-painted cinema poster visual system,templated_wording,"contains ""field is established; this row is a system-level""",source-backed seed record,living and historical visual system
ARED-GH-00040,Sign painting and public lettering in Ghana,templated_wording,"contains ""system-level record""",source-backed seed record,living visual system
ARED-GH-00041,Funeral poster and programme visual culture,templated_wording,"contains ""no object claim""",source-backed seed record,living visual system
ARED-GH-00042,Religious poster and banner visual culture,templated_wording,"contains ""ared field-research programme""",source-backed seed record,living visual system
ARED-GH-00043,Music cover and concert-poster visual culture,templated_wording,"contains ""ared field-research programme""",source-backed seed record,research field
ARED-GH-00044,"Political poster, party emblem and campaign graphic visual culture",templated_wording,"contains ""ared field-research programme""",source-backed seed record,research field
ARED-GH-00045,Posuban shrine visual system,record_type,"record_type ""architectural visual system"" is a planning row",source-backed seed record,architectural visual system
