record_id,reason
met:10207,failed Ghana relevance filter
met:10914,failed Ghana relevance filter
met:11050,failed Ghana relevance filter
met:11053,failed Ghana relevance filter
met:11719,failed Ghana relevance filter
met:11769,failed Ghana relevance filter
met:11916,failed Ghana relevance filter
met:12003,failed Ghana relevance filter
met:126673,failed Ghana relevance filter
met:1294,failed Ghana relevance filter
met:13603,failed Ghana relevance filter
met:13611,failed Ghana relevance filter
met:13612,failed Ghana relevance filter
met:138291,failed Ghana relevance filter
met:1393,failed Ghana relevance filter
met:1394,failed Ghana relevance filter
met:1406,failed Ghana relevance filter
met:14096,failed Ghana relevance filter
met:14452,failed Ghana relevance filter
met:14453,failed Ghana relevance filter
met:14454,failed Ghana relevance filter
met:14455,failed Ghana relevance filter
met:14456,failed Ghana relevance filter
met:14457,failed Ghana relevance filter
met:14458,failed Ghana relevance filter
met:14459,failed Ghana relevance filter
met:145899,failed Ghana relevance filter
met:15334,failed Ghana relevance filter
met:15391,failed Ghana relevance filter
met:155779,failed Ghana relevance filter
met:155780,failed Ghana relevance filter
met:155781,failed Ghana relevance filter
met:155782,failed Ghana relevance filter
met:155783,failed Ghana relevance filter
met:155784,failed Ghana relevance filter
met:155786,failed Ghana relevance filter
met:156134,failed Ghana relevance filter
met:156461,failed Ghana relevance filter
met:156462,failed Ghana relevance filter
met:156475,failed Ghana relevance filter
met:156735,failed Ghana relevance filter
met:157073,failed Ghana relevance filter
met:157093,failed Ghana relevance filter
met:157505,failed Ghana relevance filter
met:157550,failed Ghana relevance filter
met:157551,failed Ghana relevance filter
met:157558,failed Ghana relevance filter
met:157890,failed Ghana relevance filter
met:158371,failed Ghana relevance filter
met:158373,failed Ghana relevance filter
met:158376,failed Ghana relevance filter
met:158379,failed Ghana relevance filter
met:158391,failed Ghana relevance filter
met:159164,failed Ghana relevance filter
met:16450,failed Ghana relevance filter
met:16482,failed Ghana relevance filter
met:168305,failed Ghana relevance filter
met:17440,failed Ghana relevance filter
met:17504,failed Ghana relevance filter
met:1763,failed Ghana relevance filter
met:1764,failed Ghana relevance filter
met:177251,failed Ghana relevance filter
met:18560,failed Ghana relevance filter
met:186836,failed Ghana relevance filter
met:187396,failed Ghana relevance filter
met:187996,failed Ghana relevance filter
met:187998,failed Ghana relevance filter
met:188000,failed Ghana relevance filter
met:188001,failed Ghana relevance filter
met:188002,failed Ghana relevance filter
met:188004,failed Ghana relevance filter
met:188006,failed Ghana relevance filter
met:188011,failed Ghana relevance filter
met:188013,failed Ghana relevance filter
met:188014,failed Ghana relevance filter
met:18822,failed Ghana relevance filter
met:188353,failed Ghana relevance filter
met:188354,failed Ghana relevance filter
met:18870,failed Ghana relevance filter
met:188782,failed Ghana relevance filter
met:188827,failed Ghana relevance filter
met:189287,failed Ghana relevance filter
met:189869,failed Ghana relevance filter
met:191289,failed Ghana relevance filter
met:191639,failed Ghana relevance filter
met:191851,failed Ghana relevance filter
met:191946,failed Ghana relevance filter
met:192693,failed Ghana relevance filter
met:192770,failed Ghana relevance filter
met:193515,failed Ghana relevance filter
met:193609,failed Ghana relevance filter
met:193624,failed Ghana relevance filter
met:193636,failed Ghana relevance filter
met:194000,failed Ghana relevance filter
met:194033,failed Ghana relevance filter
met:194067,failed Ghana relevance filter
met:194107,failed Ghana relevance filter
met:194139,failed Ghana relevance filter
met:194166,failed Ghana relevance filter
met:194191,failed Ghana relevance filter
met:194241,failed Ghana relevance filter
met:194454,failed Ghana relevance filter
met:195193,failed Ghana relevance filter
met:195195,failed Ghana relevance filter
met:195311,failed Ghana relevance filter
met:195362,failed Ghana relevance filter
met:195473,failed Ghana relevance filter
met:195535,failed Ghana relevance filter
met:195572,failed Ghana relevance filter
met:195573,failed Ghana relevance filter
met:195579,failed Ghana relevance filter
met:195583,failed Ghana relevance filter
met:195584,failed Ghana relevance filter
met:195593,failed Ghana relevance filter
met:195599,failed Ghana relevance filter
met:195603,failed Ghana relevance filter
met:195606,failed Ghana relevance filter
met:195613,failed Ghana relevance filter
met:195635,failed Ghana relevance filter
met:195769,failed Ghana relevance filter
met:196402,failed Ghana relevance filter
met:196403,failed Ghana relevance filter
met:196531,failed Ghana relevance filter
met:197033,failed Ghana relevance filter
met:197045,failed Ghana relevance filter
met:197059,failed Ghana relevance filter
met:197324,failed Ghana relevance filter
met:197457,failed Ghana relevance filter
met:197460,failed Ghana relevance filter
met:197461,failed Ghana relevance filter
met:19766,failed Ghana relevance filter
met:197741,failed Ghana relevance filter
met:198012,failed Ghana relevance filter
met:198049,failed Ghana relevance filter
met:198051,failed Ghana relevance filter
met:198053,failed Ghana relevance filter
met:198054,failed Ghana relevance filter
met:198055,failed Ghana relevance filter
met:198056,failed Ghana relevance filter
met:198057,failed Ghana relevance filter
met:198061,failed Ghana relevance filter
met:198062,failed Ghana relevance filter
met:198068,failed Ghana relevance filter
met:198070,failed Ghana relevance filter
met:198071,failed Ghana relevance filter
met:198072,failed Ghana relevance filter
met:198073,failed Ghana relevance filter
met:198074,failed Ghana relevance filter
met:198075,failed Ghana relevance filter
met:198076,failed Ghana relevance filter
met:198077,failed Ghana relevance filter
met:198078,failed Ghana relevance filter
met:198079,failed Ghana relevance filter
met:198081,failed Ghana relevance filter
met:198083,failed Ghana relevance filter
met:198084,failed Ghana relevance filter
met:198085,failed Ghana relevance filter
met:198087,failed Ghana relevance filter
met:198091,failed Ghana relevance filter
met:198099,failed Ghana relevance filter
met:198568,failed Ghana relevance filter
met:198569,failed Ghana relevance filter
met:198741,failed Ghana relevance filter
met:198764,failed Ghana relevance filter
met:198799,failed Ghana relevance filter
met:198924,failed Ghana relevance filter
met:199344,failed Ghana relevance filter
met:199372,failed Ghana relevance filter
met:199373,failed Ghana relevance filter
met:199408,failed Ghana relevance filter
met:199711,failed Ghana relevance filter
met:199759,failed Ghana relevance filter
met:199771,failed Ghana relevance filter
met:199902,failed Ghana relevance filter
met:199930,failed Ghana relevance filter
met:199975,failed Ghana relevance filter
met:199985,failed Ghana relevance filter
met:200077,failed Ghana relevance filter
met:200373,failed Ghana relevance filter
met:200379,failed Ghana relevance filter
met:200387,failed Ghana relevance filter
met:200397,failed Ghana relevance filter
met:200411,failed Ghana relevance filter
met:200437,failed Ghana relevance filter
met:200554,failed Ghana relevance filter
met:200569,failed Ghana relevance filter
met:200668,failed Ghana relevance filter
met:200757,failed Ghana relevance filter
met:200830,failed Ghana relevance filter
met:200840,failed Ghana relevance filter
met:200907,failed Ghana relevance filter
met:200921,failed Ghana relevance filter
met:200954,failed Ghana relevance filter
met:200967,failed Ghana relevance filter
met:201394,failed Ghana relevance filter
met:201398,failed Ghana relevance filter
met:201399,failed Ghana relevance filter
met:201718,failed Ghana relevance filter
met:201719,failed Ghana relevance filter
met:201731,failed Ghana relevance filter
met:201732,failed Ghana relevance filter
met:201736,failed Ghana relevance filter
met:201768,failed Ghana relevance filter
met:201769,failed Ghana relevance filter
met:201781,failed Ghana relevance filter
met:201865,failed Ghana relevance filter
met:201879,failed Ghana relevance filter
met:201890,failed Ghana relevance filter
met:201971,failed Ghana relevance filter
met:201976,failed Ghana relevance filter
met:202281,failed Ghana relevance filter
met:202388,failed Ghana relevance filter
met:202389,failed Ghana relevance filter
met:203642,failed Ghana relevance filter
met:203907,failed Ghana relevance filter
met:203912,failed Ghana relevance filter
met:203913,failed Ghana relevance filter
met:203914,failed Ghana relevance filter
met:203950,failed Ghana relevance filter
met:204503,failed Ghana relevance filter
met:204533,failed Ghana relevance filter
met:204586,failed Ghana relevance filter
met:204587,failed Ghana relevance filter
met:2046,failed Ghana relevance filter
met:204611,failed Ghana relevance filter
met:204765,failed Ghana relevance filter
met:204850,failed Ghana relevance filter
met:205132,failed Ghana relevance filter
met:205149,failed Ghana relevance filter
met:205302,failed Ghana relevance filter
met:205342,failed Ghana relevance filter
met:205352,failed Ghana relevance filter
met:205431,failed Ghana relevance filter
met:205535,failed Ghana relevance filter
met:205536,failed Ghana relevance filter
met:206295,failed Ghana relevance filter
met:206296,failed Ghana relevance filter
met:206298,failed Ghana relevance filter
met:206306,failed Ghana relevance filter
met:206307,failed Ghana relevance filter
met:206332,failed Ghana relevance filter
met:206552,failed Ghana relevance filter
met:206566,failed Ghana relevance filter
met:206578,failed Ghana relevance filter
met:206606,failed Ghana relevance filter
met:206624,failed Ghana relevance filter
met:206628,failed Ghana relevance filter
met:206672,failed Ghana relevance filter
met:206710,failed Ghana relevance filter
met:206728,failed Ghana relevance filter
met:206755,failed Ghana relevance filter
met:206756,failed Ghana relevance filter
met:206757,failed Ghana relevance filter
met:206758,failed Ghana relevance filter
met:206759,failed Ghana relevance filter
met:206773,failed Ghana relevance filter
met:206784,failed Ghana relevance filter
met:206875,failed Ghana relevance filter
met:206965,failed Ghana relevance filter
met:206999,failed Ghana relevance filter
met:207000,failed Ghana relevance filter
met:207007,failed Ghana relevance filter
met:207022,failed Ghana relevance filter
met:207111,failed Ghana relevance filter
met:207157,failed Ghana relevance filter
met:207304,failed Ghana relevance filter
met:207364,failed Ghana relevance filter
met:207366,failed Ghana relevance filter
met:207372,failed Ghana relevance filter
met:207397,failed Ghana relevance filter
met:207409,failed Ghana relevance filter
met:207410,failed Ghana relevance filter
met:207416,failed Ghana relevance filter
met:207420,failed Ghana relevance filter
met:207421,failed Ghana relevance filter
met:207424,failed Ghana relevance filter
met:207425,failed Ghana relevance filter
met:207426,failed Ghana relevance filter
met:207427,failed Ghana relevance filter
met:207428,failed Ghana relevance filter
met:207430,failed Ghana relevance filter
met:207434,failed Ghana relevance filter
met:207441,failed Ghana relevance filter
met:207442,failed Ghana relevance filter
met:207446,failed Ghana relevance filter
met:207447,failed Ghana relevance filter
met:207449,failed Ghana relevance filter
met:207452,failed Ghana relevance filter
met:207453,failed Ghana relevance filter
met:207454,failed Ghana relevance filter
met:207455,failed Ghana relevance filter
met:207456,failed Ghana relevance filter
met:207459,failed Ghana relevance filter
met:207460,failed Ghana relevance filter
met:207462,failed Ghana relevance filter
met:207463,failed Ghana relevance filter
met:207464,failed Ghana relevance filter
met:207465,failed Ghana relevance filter
met:207545,failed Ghana relevance filter
met:207546,failed Ghana relevance filter
met:207552,failed Ghana relevance filter
met:207601,failed Ghana relevance filter
met:207665,failed Ghana relevance filter
met:207677,failed Ghana relevance filter
met:207694,failed Ghana relevance filter
met:207827,failed Ghana relevance filter
met:207964,failed Ghana relevance filter
met:207968,failed Ghana relevance filter
met:208164,failed Ghana relevance filter
met:208560,failed Ghana relevance filter
met:208898,failed Ghana relevance filter
met:209106,failed Ghana relevance filter
met:209211,failed Ghana relevance filter
met:209255,failed Ghana relevance filter
met:209335,failed Ghana relevance filter
met:209341,failed Ghana relevance filter
met:210642,failed Ghana relevance filter
met:210657,failed Ghana relevance filter
met:210714,failed Ghana relevance filter
met:210721,failed Ghana relevance filter
met:210722,failed Ghana relevance filter
met:210726,failed Ghana relevance filter
met:210731,failed Ghana relevance filter
met:210732,failed Ghana relevance filter
met:210733,failed Ghana relevance filter
met:210734,failed Ghana relevance filter
met:210735,failed Ghana relevance filter
met:210736,failed Ghana relevance filter
met:211394,failed Ghana relevance filter
met:211408,failed Ghana relevance filter
met:211418,failed Ghana relevance filter
met:211424,failed Ghana relevance filter
met:211426,failed Ghana relevance filter
met:211427,failed Ghana relevance filter
met:211428,failed Ghana relevance filter
met:211516,failed Ghana relevance filter
met:211521,failed Ghana relevance filter
met:211522,failed Ghana relevance filter
met:21185,failed Ghana relevance filter
met:212168,failed Ghana relevance filter
met:212169,failed Ghana relevance filter
met:212173,failed Ghana relevance filter
met:212175,failed Ghana relevance filter
met:212177,failed Ghana relevance filter
met:2125,failed Ghana relevance filter
met:212627,failed Ghana relevance filter
met:21628,failed Ghana relevance filter
met:21629,failed Ghana relevance filter
met:21630,failed Ghana relevance filter
met:219,failed Ghana relevance filter
met:219509,failed Ghana relevance filter
met:21993,failed Ghana relevance filter
met:220085,failed Ghana relevance filter
met:22052,failed Ghana relevance filter
met:221809,failed Ghana relevance filter
met:22391,failed Ghana relevance filter
met:22635,failed Ghana relevance filter
met:22636,failed Ghana relevance filter
met:226423,failed Ghana relevance filter
met:226495,failed Ghana relevance filter
met:226696,failed Ghana relevance filter
met:22741,failed Ghana relevance filter
met:22847,failed Ghana relevance filter
met:22857,failed Ghana relevance filter
