scheme,slug,label,broader,definition,central_question,indicative_period,target_count,catalogue_fields,related_terms
historical_period,visual-systems-before-colonial,Visual systems before colonial rule,visual-communication-ghana,,"How were identity, authority, memory, trade, spirituality and law communicated visually?",Before c. 1471,,,overlapping_filter
historical_period,coastal-contact-transcultural,Coastal contact and transcultural exchange,visual-communication-ghana,,"How did existing Ghanaian visual systems absorb, refuse and transform European, Islamic and Atlantic forms?",c. 1471–1874,,,overlapping_filter
historical_period,colonial-print-institutional,Colonial print and institutional design,visual-communication-ghana,,"How did missions, schools, government, newspapers and commerce reorganise visual communication?",1874–1945,,,overlapping_filter
historical_period,anticolonial-independence,Anticolonial and independence visual culture,visual-communication-ghana,,How was a new Ghana visually imagined?,1945–1966,,,overlapping_filter
historical_period,post-independence-popular,Post-independence public and popular graphics,visual-communication-ghana,,"How did visual culture operate through military rule, religion, music, cinema, markets and state institutions?",1966–1992,,,overlapping_filter
historical_period,democratic-digital-diasporic,"Democratic, digital and diasporic design",visual-communication-ghana,,"How have software, social media, global brands, informal studios and diaspora networks changed Ghanaian visual communication?",1992–present,,,overlapping_filter
visual_system,land-cosmology-authority,"Land, cosmology and authority",visual-communication-ghana,"Visual systems of authority, belonging and cosmological order — not decorative motifs.",,,,,
visual_system_concept,adinkra-system,Adinkra,land-cosmology-authority,"Carved stamps, dye preparation, cloth layout, funerary and prestige use, named motifs, proverbs, grids and institutional appropriation.",,,300,symbol|stamp|cloth|maker|proverb|context_of_wearing|colour_and_dye|regional_variation|modern_corporate_reuse|educational_simplification|incorrect_online_meanings|multiple_interpretations,
visual_system_concept,goldweights,Goldweights,land-cosmology-authority,"Akan brass goldweights as measuring instruments and visual signs — geometric and figurative forms tied to commerce, language, memory and moral instruction.",,,300,geometric_or_figurative|associated_proverb|local_name|casting_workshop|trade_and_measurement_use|collection_history|colonial_acquisition_history|contemporary_symbol_reuse,
visual_system_concept,stools-staffs-swords-umbrellas,"Stools, staffs, swords and umbrellas",land-cosmology-authority,,,,,object_type|state_or_community|heraldic_motif|oral_history|processional_use,
