record_id,title,alternate_title,record_type,period_id,period_label,visual_system_id,visual_system_label,date_display,date_start,date_end,date_certainty,region,locality,community_or_culture,creator_or_authority,creator_role,creator_certainty,commissioner,workshop_or_printer,institution_or_collection,collection_number,object_type,medium,technique,dimensions,language,source_facts,ared_interpretation,historical_significance,cultural_interpretation,provenance,acquisition_history,primary_source_name,primary_source_url,secondary_sources,bibliography,evidence_summary,access_date,rights_status,image_rights_status,community_authority_status,verification_status,uncertainties,related_record_ids,tags,build_id
ARED-GH-00001,Memorial Head (Mma),,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,"Akan peoples, Asante",Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310182,Ceramics-Sculpture,Terracotta,,H. 5 3/4 x W. 4 3/4 in. (14.6 x 12.1 cm),,"The Metropolitan Museum of Art records object 310182 as ""Memorial Head (Mma)"". Culture: Akan peoples, Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Terracotta. Dimensions: H. 5 3/4 x W. 4 3/4 in. (14.6 x 12.1 cm). Credit line: Gift of William W. Brill, 1976. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"Gift of William W. Brill, 1976","Gift of William W. Brill, 1976",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310182,,,Museum object record 310182 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,"Met; Ceramics-Sculpture; Akan peoples, Asante",2026-07-05-taxonomy-v1
ARED-GH-00002,Male ntiri (memorial head),,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",17th century (?),1600,1700,museum dated,Ghana,Adanse traditional area,Akan,Akan artist,artist/maker,institutional attribution,,,Metropolitan Museum of Art,Met 310368,Ceramics-Sculpture,"Terracotta, applied coating",,H. 12 in. × W. 7 1/2 in. × D. 7 in. (30.5 × 19.1 × 17.8 cm),,"The Metropolitan Museum of Art records object 310368 as ""Male ntiri (memorial head)"". Culture: Akan. Geographic attribution: Ghana. Region: Adanse traditional area. Date: 17th century (?). Medium: Terracotta, applied coating. Dimensions: H. 12 in. × W. 7 1/2 in. × D. 7 in. (30.5 × 19.1 × 17.8 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964. Artist/maker field: Akan artist.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310368,,,Museum object record 310368 accessed 2026-07-05.,2026-07-05,public domain (Met Open Access),Met Open Access where applicable,not_required,verified,,,Met; Ceramics-Sculpture; Akan,2026-07-05-taxonomy-v1
ARED-GH-00003,Female ntiri (memorial head),,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",17th century (?),1600,1700,museum dated,Ghana,Adanse traditional area,Akan,Akan artist,artist/maker,institutional attribution,,,Metropolitan Museum of Art,Met 310369,Ceramics-Sculpture,"Terracotta, applied coating",,H. 11 5/8 × W. 6 3/4 × D. 6 3/4 in. (29.5 × 17.1 × 17.1 cm),,"The Metropolitan Museum of Art records object 310369 as ""Female ntiri (memorial head)"". Culture: Akan. Geographic attribution: Ghana. Region: Adanse traditional area. Date: 17th century (?). Medium: Terracotta, applied coating. Dimensions: H. 11 5/8 × W. 6 3/4 × D. 6 3/4 in. (29.5 × 17.1 × 17.1 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964. Artist/maker field: Akan artist.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310369,,,Museum object record 310369 accessed 2026-07-05.,2026-07-05,public domain (Met Open Access),Met Open Access where applicable,not_required,verified,,,Met; Ceramics-Sculpture; Akan,2026-07-05-taxonomy-v1
ARED-GH-00004,Gold Weight: Zoomorphic,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,Asante,Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310751,Metal-Implements,Brass,,H. 1 1/8 x W. 2 in. (2.9 x 5.1 cm),,"The Metropolitan Museum of Art records object 310751 as ""Gold Weight: Zoomorphic"". Culture: Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Brass. Dimensions: H. 1 1/8 x W. 2 in. (2.9 x 5.1 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310751,,,Museum object record 310751 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,Met; Metal-Implements; Asante,2026-07-05-taxonomy-v1
ARED-GH-00005,Gold Dust Box (abamphruwa),,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,"Akan peoples, Asante",Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310823,Metal-Containers,Brass,,H. 1 9/16 x W. 2 3/8 x  D. 1 3/4 in. (4 x 6.1 x 4.4 cm),,"The Metropolitan Museum of Art records object 310823 as ""Gold Dust Box (abamphruwa)"". Culture: Akan peoples, Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Brass. Dimensions: H. 1 9/16 x W. 2 3/8 x  D. 1 3/4 in. (4 x 6.1 x 4.4 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310823,,,Museum object record 310823 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,"Met; Metal-Containers; Akan peoples, Asante",2026-07-05-taxonomy-v1
ARED-GH-00006,Hornblower attendant figure,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",18th–first quarter 20th century,1700,1925,broad museum dating,Côte d'Ivoire,Sanwi traditional area,"Akan peoples, Anyi group",Anyi-Akan artist,artist/maker,institutional attribution,,,Metropolitan Museum of Art,Met 310829,Ceramics-Sculpture,"Terracotta, applied coating",,H. 10 1/4 in. × W. 4 in. × D. 7 1/4 in. (26 × 10.2 × 18.4 cm),,"The Metropolitan Museum of Art records object 310829 as ""Hornblower attendant figure"". Culture: Akan peoples, Anyi group. Geographic attribution: Côte d'Ivoire. Region: Sanwi traditional area. Date: 18th–first quarter 20th century. Medium: Terracotta, applied coating. Dimensions: H. 10 1/4 in. × W. 4 in. × D. 7 1/4 in. (26 × 10.2 × 18.4 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964. Artist/maker field: Anyi-Akan artist.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964","The Michael C. Rockefeller Memorial Collection, Gift of Nelson A. Rockefeller, 1964",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310829,,,Museum object record 310829 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,museum places production in Côte d'Ivoire,,"Met; Ceramics-Sculpture; Akan peoples, Anyi group",2026-07-05-taxonomy-v1
ARED-GH-00007,Gold Weight: Elephant,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,Asante,Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310836,Metal-Implements,Brass,,H. 1 x W. 1 1/4 x D. 3 3/4 in. (2.5 x 3.2 x 9.4 cm),,"The Metropolitan Museum of Art records object 310836 as ""Gold Weight: Elephant"". Culture: Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Brass. Dimensions: H. 1 x W. 1 1/4 x D. 3 3/4 in. (2.5 x 3.2 x 9.4 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Purchase, Nelson A. Rockefeller Gift, 1960. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Purchase, Nelson A. Rockefeller Gift, 1960","The Michael C. Rockefeller Memorial Collection, Purchase, Nelson A. Rockefeller Gift, 1960",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310836,,,Museum object record 310836 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,Met; Metal-Implements; Asante,2026-07-05-taxonomy-v1
ARED-GH-00008,Grasshopper gold weight,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–mid-20th century,1800,1950,broad museum dating,Côte d’Ivoire,,Akan peoples,Akan artist,artist/maker,institutional attribution,,,Metropolitan Museum of Art,Met 310871,Metal-Implements,Brass,,W. 11/16 × D. 1/2 × L. 2 1/2 in. (1.7 × 1.3 × 6.4 cm),,"The Metropolitan Museum of Art records object 310871 as ""Grasshopper gold weight"". Culture: Akan peoples. Geographic attribution: Côte d’Ivoire. Date: 19th–mid-20th century. Medium: Brass. Dimensions: W. 11/16 × D. 1/2 × L. 2 1/2 in. (1.7 × 1.3 × 6.4 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961. Artist/maker field: Akan artist.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961","The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310871,,,Museum object record 310871 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,museum places production in Côte d’Ivoire,,Met; Metal-Implements; Akan peoples,2026-07-05-taxonomy-v1
ARED-GH-00009,Gold Weight: Lobster Claw,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,Asante,Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310874,Metal-Implements,Brass,,H. 1 1/2 x W. 2 1/16 in. (3.8 x 5.2 cm),,"The Metropolitan Museum of Art records object 310874 as ""Gold Weight: Lobster Claw"". Culture: Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Brass. Dimensions: H. 1 1/2 x W. 2 1/16 in. (3.8 x 5.2 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961","The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310874,,,Museum object record 310874 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,Met; Metal-Implements; Asante,2026-07-05-taxonomy-v1
ARED-GH-00010,Gold Weight: Insect,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,Asante,Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310876,Metal-Implements,Brass,,H. 1/2 x W. 1 11/16 x D. 9/16 in. (1.3 x 4.4 x 1.5 cm),,"The Metropolitan Museum of Art records object 310876 as ""Gold Weight: Insect"". Culture: Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Brass. Dimensions: H. 1/2 x W. 1 11/16 x D. 9/16 in. (1.3 x 4.4 x 1.5 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961","The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310876,,,Museum object record 310876 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,Met; Metal-Implements; Asante,2026-07-05-taxonomy-v1
ARED-GH-00011,Gold Weight: Seed Pod,,museum object,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",19th–20th century,1800,2000,broad museum dating,Ghana,,Asante,Unrecorded artist,unrecorded maker,unrecorded,,,Metropolitan Museum of Art,Met 310877,Metal-Implements,Brass,,H. 1 x W. 2 5/16 x D. 2 5/16 in. (2.5 x 6 x 6 cm),,"The Metropolitan Museum of Art records object 310877 as ""Gold Weight: Seed Pod"". Culture: Asante. Geographic attribution: Ghana. Date: 19th–20th century. Medium: Brass. Dimensions: H. 1 x W. 2 5/16 x D. 2 5/16 in. (2.5 x 6 x 6 cm). Credit line: The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961. Maker unnamed in museum record.",ARED research note: This record forms part of Ghana's history of graphic design and visual communication. The interpretation below is ARED analysis supported by the cited source — not presented as direct institutional quotation.,,,"The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961","The Michael C. Rockefeller Memorial Collection, Gift of William W. Brill, 1961",Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310877,,,Museum object record 310877 accessed 2026-07-05.,2026-07-05,linked_record,check Met terms,not_required,verified,maker unnamed in source,,Met; Metal-Implements; Asante,2026-07-05-taxonomy-v1
