record_id,title,alternate_title,record_type,period_id,period_label,visual_system_id,visual_system_label,date_display,date_start,date_end,date_certainty,region,locality,community_or_culture,creator_or_authority,creator_role,creator_certainty,commissioner,workshop_or_printer,institution_or_collection,collection_number,object_type,medium,technique,dimensions,language,source_facts,ared_interpretation,historical_significance,cultural_interpretation,provenance,acquisition_history,primary_source_name,primary_source_url,secondary_sources,bibliography,evidence_summary,access_date,rights_status,image_rights_status,community_authority_status,verification_status,uncertainties,related_record_ids,tags,build_id
ARED-GH-HIST-00001,Indigenous visual systems before colonial rule,,historical overview,P1,Visual systems before colonial rule,V1,"Land, cosmology and authority",pre-1471,1000,1470,historical dating,Ghana,,,,,documented in cited sources,,,,,historical overview,,,,,"Scholarly accounts of pre-colonial Ghana describe long-established Akan, Ga, Ewe and related visual languages in gold regalia, stamped and woven cloth, shrine arts, proverbial weights and memorial sculpture. R. S. Rattray's early ethnographic work and subsequent museum catalogues document these as communicative systems rather than ""decorative"" artefacts alone.","ARED frames pre-colonial Ghanaian visual culture as graphic communication: pattern, symbol and form carried authority, memory and social identity before European print arrived on the coast.","Foundation period for adinkra, kente, goldweights, nsodie and related systems that later interact with colonial and post-independence design.",,,,"R. S. Rattray, Ashanti (1923) — via Internet Archive",https://archive.org/details/ashanti0000ratt,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,overview; pre-colonial; visual systems,2026-07-05-taxonomy-v1
ARED-GH-HIST-00002,Coastal contact and transcultural visual exchange,,historical overview,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V4,"Print, colonial rule and public culture",1471–1874,1471,1874,historical dating,Ghana,Elmina; Cape Coast; Accra,,,,documented in cited sources,,,,,historical overview,,,,,"European fortifications and trade on the Gold Coast from the late 15th century introduced new materials, pictorial forms and literacy alongside existing African visual systems. Castle signage, trade documents, religious prints and imported goods entered local visual economies documented in coastal histories and museum collections.","This period is not merely 'pre-colonial background' but an active era of visual translation between Atlantic trade, mission activity and indigenous makers.",,,,,"UNESCO World Heritage — Forts and Castles, Volta, Greater Accra",https://whc.unesco.org/en/list/34/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,overview; coastal; trade; castles,2026-07-05-taxonomy-v1
ARED-GH-HIST-00003,Colonial print culture and institutional design,,historical overview,P3,"Colonial print and institutional design, 1874–1945",V4,"Print, colonial rule and public culture",1874–1945,1874,1945,historical dating,Ghana,,,,,documented in cited sources,,,,,historical overview,,,,,"Formal British colonial administration after 1874 expanded government printing, missionary publishing, commercial advertising and vernacular literacy. Gold Coast newspapers, schoolbooks, postage, currency and railway publicity created new public graphic formats documented in national archives and library collections.","Colonial print did not replace indigenous visual systems; it layered bureaucratic, missionary and commercial genres onto existing cloth, proverb and performance cultures.",,,,,British Library — Gold Coast collections,https://www.bl.uk/collection-guides/gold-coast,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,overview; colonial; print,2026-07-05-taxonomy-v1
ARED-GH-HIST-00004,Anticolonial and independence visual culture,,historical overview,P4,"Anticolonial and independence visual culture, 1945–1966",V5,Independence and state visual identity,1945–1966,1945,1966,historical dating,Ghana,,,,,documented in cited sources,,,,,historical overview,,,,,"Ghana's independence movement mobilised photography, posters, newspapers, flags, stamps and public ceremony as political communication. Kwame Nkrumah's Convention People's Party and allied cultural workers produced a recognisable independence-era visual field documented in national histories and museum holdings.","Independence was visually staged: new symbols, portraits and campaign graphics turned political aspiration into designed public culture.",,,,,Ghana Independence — Encyclopaedia Britannica,https://www.britannica.com/place/Ghana/The-national-revolution-and-the-republic,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,overview; independence; nationalism,2026-07-05-taxonomy-v1
ARED-GH-HIST-00005,Post-independence public and popular graphics,,historical overview,P5,"Post-independence public and popular graphics, 1966–1992",V6,Popular and everyday graphics,1966–1992,1966,1992,historical dating,Ghana,,,,,documented in cited sources,,,,,historical overview,,,,,"After 1966 Ghana saw changing state media, commercial advertising, record sleeves, cinema publicity, festival arts and workshop-based design education. Photographers, sign painters and state printers shaped everyday visual life in Accra, Kumasi, Takoradi and regional towns.","Popular graphics in this era include both state-sponsored modernisation imagery and grassroots sign, music and market visual cultures.",,,,,James Barnor archive — Autograph ABP,https://autograph.org.uk/exhibitions/james-barnor,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,overview; post-independence; popular culture,2026-07-05-taxonomy-v1
ARED-GH-HIST-00006,"Democratic, digital and diasporic design since 1992",,historical overview,P6,"Democratic, digital and diasporic design, 1992–present",V7,"Digital, diasporic and contemporary design",1992–present,1992,2026,historical dating,Ghana,,,,,documented in cited sources,,,,,historical overview,,,,,"Ghana's return to multi-party democracy coincided with expanded commercial branding, broadcast graphics, digital media, street art festivals and diasporic design networks. Contemporary Ghanaian designers work across Accra, Kumasi, London and global platforms.","Recent Ghanaian design is simultaneously local, pan-African and global — shaped by social media, festivals and international art markets.",,,,,Chale Wote Street Art Festival,https://chalewotefest.com/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,source_located,,,overview; contemporary; digital,2026-07-05-taxonomy-v1
ARED-GH-HIST-00007,Adinkra stamped cloth tradition,,documented practice,P1,Visual systems before colonial rule,V3,"Cloth, pattern and social identity",documented from at least 19th century; older origins debated,1800,2026,historical dating,Ghana,Bono-Ahafo; Kumasi region,Akan peoples; associated with Bono and Asante histories,,,documented in cited sources,,,,,textile practice,cotton cloth; carved calabash stamps; adinkra dye,,,,"Adinkra is an Akan cloth tradition stamped with symbolic motifs, historically associated with funerary and ceremonial use. Named symbols such as Gye Nyame are documented in Akan scholarship and widely reproduced in later Ghanaian graphic design. UNESCO and Ghanaian cultural agencies describe adinkra as intangible heritage linked to Bono origins.","Adinkra functions as a proto-graphic system: repeatable symbols with proverbial meanings, later adapted into logos, typography and national branding.",One of Ghana's most exported visual languages into contemporary design and diaspora identity graphics.,,,,UNESCO Intangible Cultural Heritage — Adinkra (related Akan traditions),https://ich.unesco.org/,Kwaku Osei-Bonsu; Akan symbol dictionaries,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,exact origin dates and individual early makers often unrecorded,,adinkra; textile; Akan; symbol,2026-07-05-taxonomy-v1
ARED-GH-HIST-00008,Kente woven cloth as pattern communication,,documented practice,P1,Visual systems before colonial rule,V3,"Cloth, pattern and social identity",centuries-old; widely documented 19th–20th century,1700,2026,historical dating,Ghana,Kumasi; Bonwire; Agbozume,Asante; Ewe; related weaving communities,,,documented in cited sources,,,,,textile weaving,silk; cotton; strip weave,,,,"Kente is a strip-woven prestige cloth associated especially with Asante and Ewe makers. Named patterns carry social meaning and are worn at ceremonies of status. Ghanaian museums, Bonwire community accounts and textile scholarship document kente as a coded visual language rather than purely decorative cloth.",Kente patterns operate like a designed vocabulary of colour and motif — a wearable graphic system central to Ghanaian public ceremony.,,,,,Bonwire Kente Museum / Ghana tourism documentation,https://www.ghana.travel/places-to-visit/regions/ashanti-region/,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,kente; textile; Asante; Ewe; weaving,2026-07-05-taxonomy-v1
ARED-GH-HIST-00009,Akan goldweights (abrammuo) as proverbial graphic forms,,documented practice,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V1,"Land, cosmology and authority",17th–20th century (museum dating),1600,1950,historical dating,Ghana,,Akan; Asante,,,documented in cited sources,,,,,metal weights,brass; copper alloy,,,,Akan goldweights were used in trade measurement and cast or modelled in figurative and geometric forms referencing proverbs and social concepts. Major museums including the British Museum and Metropolitan Museum hold extensive Ghana-related goldweight collections with accession documentation.,"Goldweights are miniature designed objects: visual shorthand for proverb, satire and authority within Akan communicative culture.",,,,,British Museum collection — Akan goldweights,https://www.britishmuseum.org/collection/search?keyword=akan+goldweight,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,goldweight; Akan; proverb; brass,2026-07-05-taxonomy-v1
ARED-GH-HIST-00010,Nsodie (memorial terracotta heads),,documented practice,P2,"Coastal contact and transcultural exchange, c. 1471–1874",V2,"Memory, proverb and performance",17th–19th century (typical museum dating),1600,1900,historical dating,Ghana,,Akan peoples,,,documented in cited sources,,,,,ceramic sculpture,terracotta,,,,"Nsodie are Akan memorial heads placed at sacred burial sites to honour the dead. Terracotta examples are documented in Ghana and in museum collections worldwide. Met and Cleveland Museum accession records describe culture, medium and regional attribution.",Memorial heads embody designed presence — portraiture without individual likeness conventions of European print portraiture.,,,,,Metropolitan Museum — Akan memorial head records,https://www.metmuseum.org/art/collection/search?q=nsodie,,,Historical entry compiled 2026-07-05 from cited published sources.,2026-07-05,metadata_only,text record; images not bundled,assess where culturally governed,partially_verified,,,nsodie; Akan; terracotta; memorial,2026-07-05-taxonomy-v1
