record_id,status,publication_state,title,record_type,period_id,period_label,date_start,date_end,visual_system_id,visual_system_label,region,locality,community_or_culture,creator_or_authority,creator_role,institution_or_collection,object_or_record_type,medium_or_format,language,description,historical_significance,source_name,source_url,secondary_source_url,source_type,rights_status,rights_note,verification_level,verification_notes,research_priority,research_question,provenance_or_custody_note,community_authority_required,linked_record_ids,tags,build_id
ARED-GH-00001,published,source-backed seed record,Ghana national flag,designed object,P4,"Anticolonial and independence visual culture, 1945–1966",1957,present,V5,Independence and state visual identity,National,Ghana,Republic of Ghana,Theodosia Salome Okoh,designer,National symbol,flag,textile; colour system; emblem,visual,"Red, gold and green horizontal bands with a central black five-pointed star; adopted for independence in 1957.",A foundational work of Ghanaian state visual identity and Pan-African symbolism.,AWARE: Archives of Women Artists,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,https://peoplesgdarchive.org/item/15411/flag-of-ghana,artist biography; design archive,metadata_only,National symbol; reproduction rules and jurisdictional restrictions should be checked.,high,Designer and first use at independence confirmed by independent biographical sources.,high,"Locate original sketches, competition records, correspondence and oral histories from the Okoh family.",,No,,flag; national identity; independence; Pan-Africanism,2026-07-05-taxonomy-v1
ARED-GH-00002,published,source-backed seed record,Theodosia Salome Okoh authority record,person,P4,"Anticolonial and independence visual culture, 1945–1966",1922,2015,V5,Independence and state visual identity,Eastern Region; Greater Accra,Effiduase; Accra,Anum Guan; Ghanaian,Theodosia Salome Okoh,artist; teacher; flag designer,,maker authority record,biography; oral history; design work,,Ghanaian artist and teacher best known for designing the national flag.,Centres a Ghanaian woman designer within the history of national visual identity.,AWARE: Archives of Women Artists,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,https://www.thenanaproject.org/written-stories/theodosia-okoh,artist biography; family oral history,metadata_only,Seek family permission for private photographs and archival materials.,high,,high,"Build a complete catalogue of her artworks, teaching career, flag sketches and interviews.",,Family consultation,,designer; women; national flag; Achimota,2026-07-05-taxonomy-v1
ARED-GH-00003,published,source-backed seed record,Ghana coat of arms,designed object,P4,"Anticolonial and independence visual culture, 1945–1966",1957,present,V5,Independence and state visual identity,National,Ghana,Republic of Ghana,Nii Amon Kotei,designer,Government of Ghana,coat of arms; heraldic identity,graphic emblem,visual; English motto,"National coat of arms introduced at independence, combining state, agricultural, mining and customary symbols.",A major example of postcolonial state design joining heraldic form with Ghanaian political and economic symbols.,Amon Kotei family archive,https://www.amonkotei.com/life-history,https://www.wessexgallery.com/amon-kotei-ghanaian-artist,family archive; artist biography,metadata_only,Government emblem; reproduction and trademark restrictions should be checked.,high,,high,"Locate preparatory drawings, government commission records and heraldic approval documents.",,Family and state archives,,coat of arms; state design; heraldry; independence,2026-07-05-taxonomy-v1
ARED-GH-00004,published,source-backed seed record,Nii Amon Kotei authority record,person,P3,"Colonial print and institutional design, 1874–1945",1915,2011,V5,Independence and state visual identity,Greater Accra,La,Ga; Ghanaian,Nii Amon Kotei,graphic artist; painter; sculptor; surveyor; musician,,maker authority record,graphic design; painting; cartography,,Ghanaian artist trained at Achimota and the London School of Printing and Graphic Art; designer of Ghana's coat of arms.,"Connects colonial-era art training, cartography and post-independence national design.",Amon Kotei family archive,https://www.amonkotei.com/life-history,https://wadr.org/african-hero-amon-kotei-2/,family archive; biographical profile,metadata_only,Family consultation required for personal archives and artworks.,high,,high,"Catalogue his wartime cartography, commercial art, calligraphy, paintings and design commissions.",,Family consultation,,designer; cartography; coat of arms; Ga,2026-07-05-taxonomy-v1
ARED-GH-00005,published,source-backed seed record,Kofi Antubam authority record,person,P4,"Anticolonial and independence visual culture, 1945–1966",1922,1964,V5,Independence and state visual identity,Central Region; Greater Accra,Adisadel; Accra,Ghanaian,Kofi Antubam,artist; designer; educator; state artist,,maker authority record,painting; mural; mosaic; furniture; state symbols,,Pioneering Ghanaian modern artist and official state artist whose commissions shaped early national visual culture.,"Shows how post-independence visual identity was produced across art, interiors, public monuments and state ritual.",Routledge Encyclopedia of Modernism,https://www.rem.routledge.com/articles/antubam-kofi-1922-1964,https://artsghana.net/kofi-antubam-in-reminiscence-gh-ak/,scholarly encyclopedia; Ghanaian arts publication,metadata_only,Works in Ghanaian national and family collections require item-level rights review.,high,,high,"Create an object-level catalogue of state furniture, murals, mosaics, emblems and publications.",,Family and national collections,,state artist; modernism; national identity; public art,2026-07-05-taxonomy-v1
ARED-GH-00006,published,source-backed seed record,Kobina Badowah authority record,person,P5,"Post-independence public and popular graphics, 1966–1992",1910,1999,V2,"Memory, proverb and performance",Central Region,Fante coastal Ghana,Fante,Kobina Badowah,Asafo flag maker; textile artist,,maker authority record,appliqué and embroidered flags,,Named Fante textile artist associated with proverb-based Asafo flag production.,A key maker for restoring authorship to a field often catalogued as anonymous.,Studio Museum in Harlem,https://www.studiomuseum.org/artists/kobina-badowah,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,museum artist authority; scholarly catalogue,metadata_only,Object images require museum or owner permission.,high,,high,"Map flags, workshops, commissions, descendants and oral interpretations attributed to Badowah.",,Fante community and descendants,,Asafo; flag maker; Fante; proverb,2026-07-05-taxonomy-v1
ARED-GH-00007,published,source-backed seed record,Baba Issaka authority record,person,P6,"Democratic, digital and diasporic design, 1992–present",20th century,present,V2,"Memory, proverb and performance",Central Region,Fante coastal Ghana,Fante,Baba Issaka,master Asafo flag maker; textile artist,,maker authority record,appliqué flags,,Contemporary master flag maker whose commissioned works address Asafo history and the transatlantic slave trade.,Demonstrates the continuation and contemporary reframing of Asafo flag practice.,Horniman Museum and Gardens,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/,,museum collection story,metadata_only,Seek maker and museum permission for image reproduction.,high,,high,"Record biography, workshop practices, apprentices, commissions and interpretations in the maker's own words.",,Maker consent; Asafo authority,,Asafo; contemporary; flag maker; slavery memory,2026-07-05-taxonomy-v1
ARED-GH-00008,published,source-backed seed record,Kweku Kakanu authority research record,person,P5,"Post-independence public and popular graphics, 1966–1992",20th century,,V2,"Memory, proverb and performance",Central Region,Fante coastal Ghana,Fante,Kweku Kakanu,Asafo flag maker,,maker authority record,appliqué flags,,Named Asafo flag maker reported in museum and market discussions; full biography requires verification.,Potentially important named maker whose dispersed works could help reconstruct workshop histories.,Financial Times,https://www.ft.com/content/9e412afd-0f10-4048-b224-c9110bacd370,https://www.maharam.com/stories/banks_asafo-flags,reported cultural history; design publication,metadata_only,Use as research lead until museum and community records confirm attribution.,medium,"Name is reported, but a full authority record needs primary confirmation.",high,"Verify dates, town, workshop, descendants and museum holdings through Fante field research.",,Required,,Asafo; maker attribution; research lead,2026-07-05-taxonomy-v1
ARED-GH-00009,published,source-backed seed record,Nana McCarthy authority research record,person,P5,"Post-independence public and popular graphics, 1966–1992",20th century,,V2,"Memory, proverb and performance",Central Region,Fante coastal Ghana,Fante,Nana McCarthy,Asafo flag maker,,maker authority record,appliqué flags,,Flag maker named in accounts of late twentieth-century Asafo production.,Supports research into maker lineages beyond better-known artists.,Maharam Stories,https://www.maharam.com/stories/banks_asafo-flags,,design publication,metadata_only,Treat as a lead pending community and museum verification.,medium,Secondary reporting only.,high,"Confirm full name, locality, dates, workshop and surviving flags.",,Required,,Asafo; flag maker; research lead,2026-07-05-taxonomy-v1
ARED-GH-00010,published,source-backed seed record,Fante Asafo flags visual system,living visual system,P2,"Coastal contact and transcultural exchange, c. 1471–1874",17th century,present,V2,"Memory, proverb and performance",Central Region; Western coastal Ghana,Cape Coast; Elmina; Anomabo; Mankessim; Kormantse; Saltpond and other towns,Fante,Asafo companies and named flag makers,commissioners; makers; performers; interpreters,,frankaa / mfrankaa; military and civic flags,"cloth, appliqué, embroidery, performance",Fante; visual proverb,"Company flags that visualise proverbs, histories, rivalry, authority and civic identity and are activated through procession and performance.","A major Ghanaian system of public graphic communication that crosses oral, textile, political and performative media.",Fowler Museum / Royal Ontario Museum,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,https://www.brooklynmuseum.org/objects/188917,scholarly museum publication; object record,community_governed,"Meanings, performance contexts and restricted knowledge should be documented with Asafo consent.",high,,high,"Create company-level records, maker genealogies, proverb translations, performance histories and custody records.",Large numbers are held outside Ghana; acquisition histories must be visible.,Yes,,Asafo; Fante; flags; proverb; performance,2026-07-05-taxonomy-v1
