source_name,source_url,source_type,records_using
AWARE: Archives of Women Artists,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,artist biography; family oral history,1
Amon Kotei family archive,https://www.amonkotei.com/life-history,family archive; biographical profile,1
Routledge Encyclopedia of Modernism,https://www.rem.routledge.com/articles/antubam-kofi-1922-1964,scholarly encyclopedia; Ghanaian arts publication,1
Studio Museum in Harlem,https://www.studiomuseum.org/artists/kobina-badowah,museum artist authority; scholarly catalogue,1
Horniman Museum and Gardens,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/,museum collection story,1
Financial Times,https://www.ft.com/content/9e412afd-0f10-4048-b224-c9110bacd370,reported cultural history; design publication,1
Maharam Stories,https://www.maharam.com/stories/banks_asafo-flags,design publication,1
Smithsonian Institution,https://www.si.edu/object/asafo-flag%3Anmafa_88-10-1,museum object record,1
Brooklyn Museum,https://www.brooklynmuseum.org/objects/188917,museum object record,1
High Museum of Art,https://high.org/collection/asafo-flag-2/,museum object record,1
Fowler Museum at UCLA,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,scholarly museum publication,1
Mingei International Museum,https://mingei.org/exhibitions/asafo-flags-from-ghana,museum exhibition record,1
The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/687569,museum object record,1
The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/711933,museum object record,1
The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/317674,museum object record,1
British Museum,https://www.britishmuseum.org/collection/object/E_Af1947-13-138,museum object record,1
British Museum,https://www.britishmuseum.org/collection/object/E_Af2004-04-1,museum object record,1
British Museum,https://www.britishmuseum.org/collection/object/E_Af1982-33-1,museum object record,1
British Museum,https://www.britishmuseum.org/collection/object/E_Af1966-01-12,museum object record,1
Ghana Museums and Monuments Board,https://www.ghanamuseums.org/,official institutional website; secondary institutional history,1
KNUST Department of Communication Design,https://decode.knust.edu.gh/,official university website,1
KNUST College of Art and Built Environment,https://cabe.knust.edu.gh/about-us,official university website,1
Kumasi Technical University,https://kstu.edu.gh/academics/programmes/bachelor-arts-communication-design,official university website,1
KNUST Institutional Repository,https://ir.knust.edu.gh/handle/123456789/3433,institutional repository,1
KNUST Institutional Repository,https://ir.knust.edu.gh/bitstream/123456789/7203/1/DEVELOPING%20INNOVATIVE%20ASSESSMENT%20STRATEGY.pdf,institutional repository document,1
University of Ghana research on Graphic Communications Group,https://ugspace.ug.edu.gh/bitstreams/360d9dae-7463-414b-80b5-dc4d38cdc5a9/download,institutional repository research,1
