source_name,source_url,source_type,records_using_source,build_id
ARED,https://ared.design/,project record,1,2026-07-05-taxonomy-v1
ARED Ghana-based research priority,https://ared.design/,primary research plan,2,2026-07-05-taxonomy-v1
ARED digital preservation programme,https://ared.design/,primary research plan,1,2026-07-05-taxonomy-v1
ARED field-research programme,https://ared.design/,primary research plan,4,2026-07-05-taxonomy-v1
AWARE: Archives of Women Artists,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,artist biography; design archive,1,2026-07-05-taxonomy-v1
AWARE: Archives of Women Artists,https://awarewomenartists.com/en/artiste/theodosia-salome-okoh/,artist biography; family oral history,1,2026-07-05-taxonomy-v1
Amon Kotei family archive,https://www.amonkotei.com/life-history,family archive; artist biography,1,2026-07-05-taxonomy-v1
Amon Kotei family archive,https://www.amonkotei.com/life-history,family archive; biographical profile,1,2026-07-05-taxonomy-v1
Bank of Ghana research target,https://www.bog.gov.gh/,official institutional lead,1,2026-07-05-taxonomy-v1
British Museum,https://www.britishmuseum.org/collection/object/E_Af1947-13-138,museum object record,1,2026-07-05-taxonomy-v1
British Museum,https://www.britishmuseum.org/collection/object/E_Af1966-01-12,museum object record,1,2026-07-05-taxonomy-v1
British Museum,https://www.britishmuseum.org/collection/object/E_Af1982-33-1,museum object record,1,2026-07-05-taxonomy-v1
British Museum,https://www.britishmuseum.org/collection/object/E_Af2004-04-1,museum object record,1,2026-07-05-taxonomy-v1
Brooklyn Museum,https://www.brooklynmuseum.org/objects/188917,museum object record,1,2026-07-05-taxonomy-v1
Brooklyn Museum Asafo context,https://www.brooklynmuseum.org/objects/188917,museum object context; scholarly publication,1,2026-07-05-taxonomy-v1
ClientEarth Ghana mining briefing,https://www.clientearth.org/media/gzuf1ykj/ghana-mining-briefing-1.pdf,policy research lead,1,2026-07-05-taxonomy-v1
Financial Times,https://www.ft.com/content/9e412afd-0f10-4048-b224-c9110bacd370,reported cultural history; design publication,1,2026-07-05-taxonomy-v1
Fowler Museum / Royal Ontario Museum,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,scholarly museum publication; object record,1,2026-07-05-taxonomy-v1
Fowler Museum at UCLA,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,museum publication,1,2026-07-05-taxonomy-v1
Fowler Museum at UCLA,https://fowler.ucla.edu/product/art-honor-ridicule-asafo-flags-southern-ghana/,scholarly museum publication,1,2026-07-05-taxonomy-v1
Ghana Museums and Monuments Board,https://www.ghanamuseums.org/,official institutional website; secondary institutional history,1,2026-07-05-taxonomy-v1
Ghana Museums and cultural institutions research lead,https://www.ghanamuseums.org/,institutional research lead,1,2026-07-05-taxonomy-v1
High Museum of Art,https://high.org/collection/asafo-flag-2/,museum object record,1,2026-07-05-taxonomy-v1
Horniman Museum and Gardens,https://www.horniman.ac.uk/story/asafo-companies-fante-people-and-the-mfrankaa/,museum collection story,2,2026-07-05-taxonomy-v1
KNUST College of Art and Built Environment,https://cabe.knust.edu.gh/,official institutional websites,1,2026-07-05-taxonomy-v1
KNUST College of Art and Built Environment,https://cabe.knust.edu.gh/about-us,official university website,1,2026-07-05-taxonomy-v1
KNUST Department of Communication Design,https://decode.knust.edu.gh/,official university website,1,2026-07-05-taxonomy-v1
KNUST Institutional Repository,https://ir.knust.edu.gh/bitstream/123456789/7203/1/DEVELOPING%20INNOVATIVE%20ASSESSMENT%20STRATEGY.pdf,institutional repository document,1,2026-07-05-taxonomy-v1
KNUST Institutional Repository,https://ir.knust.edu.gh/bitstreams/34f8772d-afed-48a1-ac82-2bdd5642c136/download,institutional repository document,1,2026-07-05-taxonomy-v1
KNUST Institutional Repository,https://ir.knust.edu.gh/handle/123456789/3433,institutional repository,1,2026-07-05-taxonomy-v1
KNUST staff directory and department website,https://decode.knust.edu.gh/,official university profiles,1,2026-07-05-taxonomy-v1
Kumasi Technical University,https://kstu.edu.gh/academics/programmes/bachelor-arts-communication-design,official university website,1,2026-07-05-taxonomy-v1
Maharam Stories,https://www.maharam.com/stories/banks_asafo-flags,design publication,1,2026-07-05-taxonomy-v1
Maharam Stories,https://www.maharam.com/stories/banks_asafo-flags,design publication; collection profile,1,2026-07-05-taxonomy-v1
Mingei International Museum,https://mingei.org/exhibitions/asafo-flags-from-ghana,museum exhibition record,1,2026-07-05-taxonomy-v1
Mingei and international exhibition research leads,https://mingei.org/,museum and exhibition research lead,1,2026-07-05-taxonomy-v1
Routledge Encyclopedia of Modernism,https://www.rem.routledge.com/articles/antubam-kofi-1922-1964,scholarly encyclopedia; Ghanaian arts publication,1,2026-07-05-taxonomy-v1
Smithsonian Institution,https://www.si.edu/object/asafo-flag%3Anmafa_88-10-1,museum object record,1,2026-07-05-taxonomy-v1
Smithsonian research on Ghanaian visual identity,https://www.sil.si.edu/DigitalCollections/locally_hosted/Exploring_Identity_Art_of_El_Anatsui_and_Kwesi_Owusu_Ankomah.pdf,research document and field observation lead,1,2026-07-05-taxonomy-v1
Studio Museum in Harlem,https://www.studiomuseum.org/artists/kobina-badowah,museum artist authority; scholarly catalogue,1,2026-07-05-taxonomy-v1
The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/317674,museum object record,1,2026-07-05-taxonomy-v1
The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/687569,museum object record,1,2026-07-05-taxonomy-v1
The Metropolitan Museum of Art,https://www.metmuseum.org/art/collection/search/711933,museum object record,1,2026-07-05-taxonomy-v1
University of Ghana repository,https://ugspace.ug.edu.gh/server/api/core/bitstreams/59700028-9331-48ac-ac16-dd4633c26f0d/content,institutional repository research,1,2026-07-05-taxonomy-v1
University of Ghana research on Graphic Communications Group,https://ugspace.ug.edu.gh/bitstreams/360d9dae-7463-414b-80b5-dc4d38cdc5a9/download,institutional repository research,1,2026-07-05-taxonomy-v1
