source_name,source_url,institution,records
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310182,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310368,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310369,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310751,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310823,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310829,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310836,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310871,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310874,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310876,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310877,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310913,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/310941,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/311024,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/311027,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/311028,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312170,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312173,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312226,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312227,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312262,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312272,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312427,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312428,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312444,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/312482,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/316799,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/316800,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/317673,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/317674,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/317675,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/317676,Metropolitan Museum of Art,1
Metropolitan Museum of Art Collection Online,https://www.metmuseum.org/art/collection/search/317677,Metropolitan Museum of Art,1
