record_id,title,verification_status,collection_number,primary_source_url,uncertainties
ARED-GH-00001,Memorial Head (Mma),verified,Met 310182,https://www.metmuseum.org/art/collection/search/310182,maker unnamed in source
ARED-GH-00002,Male ntiri (memorial head),verified,Met 310368,https://www.metmuseum.org/art/collection/search/310368,
ARED-GH-00003,Female ntiri (memorial head),verified,Met 310369,https://www.metmuseum.org/art/collection/search/310369,
ARED-GH-00004,Gold Weight: Zoomorphic,verified,Met 310751,https://www.metmuseum.org/art/collection/search/310751,maker unnamed in source
ARED-GH-00005,Gold Dust Box (abamphruwa),verified,Met 310823,https://www.metmuseum.org/art/collection/search/310823,maker unnamed in source
ARED-GH-00006,Hornblower attendant figure,verified,Met 310829,https://www.metmuseum.org/art/collection/search/310829,museum places production in Côte d'Ivoire
ARED-GH-00007,Gold Weight: Elephant,verified,Met 310836,https://www.metmuseum.org/art/collection/search/310836,maker unnamed in source
ARED-GH-00008,Grasshopper gold weight,verified,Met 310871,https://www.metmuseum.org/art/collection/search/310871,museum places production in Côte d’Ivoire
ARED-GH-00009,Gold Weight: Lobster Claw,verified,Met 310874,https://www.metmuseum.org/art/collection/search/310874,maker unnamed in source
ARED-GH-00010,Gold Weight: Insect,verified,Met 310876,https://www.metmuseum.org/art/collection/search/310876,maker unnamed in source
ARED-GH-00011,Gold Weight: Seed Pod,verified,Met 310877,https://www.metmuseum.org/art/collection/search/310877,maker unnamed in source
ARED-GH-00012,Shells gold weight,verified,Met 310913,https://www.metmuseum.org/art/collection/search/310913,museum places production in Côte d’Ivoire
ARED-GH-00013,Akua 'ba figure,verified,Met 310941,https://www.metmuseum.org/art/collection/search/310941,
ARED-GH-00014,Nsodie (memorial head),verified,Met 311024,https://www.metmuseum.org/art/collection/search/311024,
ARED-GH-00015,Clan Pot (abusua kuruwa),verified,Met 311027,https://www.metmuseum.org/art/collection/search/311027,maker unnamed in source
ARED-GH-00016,Gold Weight: Fish,verified,Met 311028,https://www.metmuseum.org/art/collection/search/311028,maker unnamed in source
ARED-GH-00017,Container (Kuduo),verified,Met 312170,https://www.metmuseum.org/art/collection/search/312170,maker unnamed in source
ARED-GH-00018,Figure: Buffalo Head,verified,Met 312173,https://www.metmuseum.org/art/collection/search/312173,maker unnamed in source
ARED-GH-00019,Abamphruwa (gold-dust box),verified,Met 312226,https://www.metmuseum.org/art/collection/search/312226,
ARED-GH-00020,Gold Dust Box (abamphruwa),verified,Met 312227,https://www.metmuseum.org/art/collection/search/312227,maker unnamed in source
ARED-GH-00021,Gold Weight: Mask,verified,Met 312262,https://www.metmuseum.org/art/collection/search/312262,maker unnamed in source
ARED-GH-00022,Gold Weight: Chameleon,verified,Met 312272,https://www.metmuseum.org/art/collection/search/312272,maker unnamed in source
ARED-GH-00023,Lion Ornament,verified,Met 312427,https://www.metmuseum.org/art/collection/search/312427,
ARED-GH-00024,Lion Ornament,verified,Met 312428,https://www.metmuseum.org/art/collection/search/312428,
